signal,universe_pct,months,mean_recall,mean_signal_dispersion,mean_next_1m_return
momentum,0.2,318,0.539727463312369,0.7112840453991732,-0.022992480085550118
momentum,0.30000000000000004,318,0.6794549266247379,0.6636854949901113,-0.021545735304846506
momentum,0.4000000000000001,318,0.770545073375262,0.631994274582877,-0.01816185811338635
momentum,0.5000000000000001,318,0.8364779874213837,0.6051943403201705,-0.01598106967875663
momentum,0.6000000000000001,318,0.878825995807128,0.5784624685325476,-0.01418471430878509
momentum,0.7000000000000002,318,0.9094339622641509,0.553502530725873,-0.012865199093572324
momentum,0.8000000000000003,318,0.929140461215933,0.5297757214137623,-0.012792988634361855
momentum,0.9000000000000001,318,0.9468553459119498,0.5112579996204882,-0.013368910189461911
momentum,1.0000000000000002,318,0.9779874213836478,0.4964777503342599,-0.012366994519132595
reversal,0.2,318,0.4270440251572327,0.26774938836437623,-0.007499989727503873
reversal,0.30000000000000004,318,0.5733752620545074,0.25281050587634313,-0.007392813941287876
reversal,0.4000000000000001,318,0.6932914046121593,0.23810657100309857,-0.006604918710119663
reversal,0.5000000000000001,318,0.779874213836478,0.2266927500877284,-0.006682153166219533
reversal,0.6000000000000001,318,0.8436058700209643,0.2154430933794522,-0.0057228870744945644
reversal,0.7000000000000002,318,0.8902515723270441,0.20580301927144537,-0.001537982923924152
reversal,0.8000000000000003,318,0.9258909853249476,0.19694100174969004,0.003963240655971506
reversal,0.9000000000000001,318,0.9473794549266247,0.19010193996004576,0.004739242148820273
reversal,1.0000000000000002,318,0.9778825995807127,0.18484923696279532,0.008805169408720614
